batch_id,product_name,product_type,quality_grade,produced_date,expiry_date,quantity,storage_type,city,route_id,distance_km,estimated_time_hours,route_type,current_freshness,days_in_storage,temperature,humidity,delay_factor,congestion_level,demand_score,shelf_life_days,days_used,days_remaining,expiry_urgency,spoilage_risk,priority_score
B-1360,Milk,Chilled,A,2026-02-06,2026-02-13,255,Refrigerated,Chicago,R-1360,339,6.78,warehouse,87.3,5,10.9,72.3,1.7147999999999999,Medium,42,7,5,2,1,Medium,4.0
B-1361,Tomato,Fresh,A,2026-02-03,2026-02-17,170,Ambient,New York,R-1361,343,5.04,warehouse,81.4,2,20.2,34.6,1.565,High,99,14,2,12,0,Medium,6.1
B-1362,Milk,Chilled,C,2026-02-05,2026-02-12,412,Refrigerated,Houston,R-1362,230,3.43,warehouse,81.3,4,12.1,75.3,1.7380000000000002,Medium,74,7,4,3,0,High,5.2
B-1363,Fish,Chilled,A,2026-02-01,2026-02-06,282,Refrigerated,Houston,R-1363,237,5.15,direct,32.2,10,14.1,78.2,1.7380000000000002,Medium,77,5,10,-5,1,High,3.8
B-1364,Tomato,Fresh,B,2026-02-04,2026-02-18,344,Ambient,New York,R-1364,493,11.2,direct,100.0,0,19.8,79.3,1.565,High,99,14,0,14,0,Medium,6.5
B-1365,Onion,Fresh,A,2026-02-04,2026-02-18,230,Ambient,Phoenix,R-1365,440,5.64,warehouse,64.7,8,16.2,49.1,1.8536,Medium,99,14,8,6,0,Medium,5.5
B-1366,Milk,Chilled,A,2026-02-08,2026-02-15,253,Refrigerated,Houston,R-1366,136,2.83,direct,55.4,8,4.6,52.0,1.7380000000000002,Medium,74,7,8,-1,1,Medium,4.5
B-1367,Milk,Chilled,C,2026-01-31,2026-02-07,227,Refrigerated,New York,R-1367,150,1.95,direct,60.9,6,14.7,35.2,1.565,High,77,7,6,1,1,High,4.8
B-1368,Onion,Fresh,C,2026-02-03,2026-02-17,299,Ambient,New York,R-1368,289,4.13,direct,30.0,10,19.7,85.1,1.565,High,69,14,10,4,0,High,3.4
B-1369,Meat,Chilled,C,2026-02-01,2026-02-06,268,Refrigerated,New York,R-1369,460,8.07,warehouse,83.2,2,21.8,78.2,1.565,High,66,5,2,3,0,High,4.7
B-1370,Onion,Fresh,B,2026-02-09,2026-02-23,219,Ambient,Houston,R-1370,54,1.1,warehouse,52.0,10,22.9,64.3,1.7380000000000002,Medium,84,14,10,4,0,Medium,4.9
B-1371,Tomato,Fresh,A,2026-02-02,2026-02-16,285,Ambient,Los Angeles,R-1371,167,3.15,direct,83.1,5,21.9,72.1,1.686,Medium,77,14,5,9,0,Medium,5.4
B-1372,Onion,Fresh,A,2026-02-07,2026-02-21,447,Ambient,New York,R-1372,168,2.13,warehouse,74.6,7,16.2,81.3,1.565,High,69,14,7,7,0,Medium,4.8
B-1373,Milk,Chilled,C,2026-01-31,2026-02-07,460,Refrigerated,Chicago,R-1373,191,4.06,warehouse,43.1,8,24.6,31.3,1.7147999999999999,Medium,42,7,8,-1,1,High,2.8
B-1374,Fish,Chilled,B,2026-02-07,2026-02-12,179,Refrigerated,Los Angeles,R-1374,172,2.23,direct,33.2,7,20.1,80.4,1.686,Medium,46,5,7,-2,1,High,2.7
B-1375,Onion,Fresh,C,2026-01-31,2026-02-14,138,Ambient,Chicago,R-1375,167,2.14,warehouse,73.6,6,17.4,88.4,1.7147999999999999,Medium,55,14,6,8,0,Medium,4.2
B-1376,Milk,Chilled,C,2026-02-04,2026-02-11,270,Refrigerated,Chicago,R-1376,475,5.94,warehouse,100.0,0,19.7,83.5,1.7147999999999999,Medium,42,7,0,7,0,High,4.2
B-1377,Fish,Chilled,A,2026-02-09,2026-02-14,333,Refrigerated,Houston,R-1377,207,2.88,direct,91.6,1,21.4,51.1,1.7380000000000002,Medium,77,5,1,4,0,High,5.6
B-1378,Meat,Chilled,B,2026-02-03,2026-02-08,135,Refrigerated,Chicago,R-1378,482,8.61,warehouse,73.9,3,3.0,36.3,1.7147999999999999,Medium,91,5,3,2,1,Medium,5.4
B-1379,Tomato,Fresh,A,2026-02-03,2026-02-17,186,Ambient,Phoenix,R-1379,315,4.04,direct,40.6,10,5.9,47.3,1.8536,Medium,95,14,10,4,0,High,4.7
B-1380,Tomato,Fresh,B,2026-02-02,2026-02-16,71,Ambient,Phoenix,R-1380,353,5.79,warehouse,86.0,3,16.0,61.8,1.8536,Medium,95,14,3,11,0,Medium,6.0
B-1381,Meat,Chilled,C,2026-01-31,2026-02-05,347,Refrigerated,Chicago,R-1381,396,6.49,warehouse,69.8,5,17.1,55.2,1.7147999999999999,Medium,91,5,5,0,1,High,5.3
B-1382,Onion,Fresh,A,2026-02-08,2026-02-22,403,Ambient,Los Angeles,R-1382,372,5.03,warehouse,54.2,10,8.5,40.1,1.686,Medium,60,14,10,4,0,Medium,3.7
B-1383,Fish,Chilled,A,2026-02-03,2026-02-08,246,Refrigerated,New York,R-1383,321,4.79,direct,83.5,2,11.3,73.9,1.565,High,88,5,2,3,0,High,5.7
B-1384,Meat,Chilled,A,2026-02-02,2026-02-07,397,Refrigerated,Chicago,R-1384,261,4.28,warehouse,40.0,10,4.4,37.0,1.7147999999999999,Medium,91,5,10,-5,1,High,4.6
B-1385,Fish,Chilled,B,2026-02-07,2026-02-12,120,Refrigerated,Phoenix,R-1385,22,0.42,warehouse,66.5,8,16.5,64.2,1.8536,Medium,66,5,8,-3,1,High,4.6
B-1386,Onion,Fresh,A,2026-01-31,2026-02-14,77,Ambient,New York,R-1386,161,3.35,direct,13.2,9,19.1,64.7,1.565,High,69,14,9,5,0,High,3.0
B-1387,Fish,Chilled,B,2026-02-06,2026-02-11,207,Refrigerated,Chicago,R-1387,141,3.36,direct,65.5,10,24.4,79.3,1.7147999999999999,Medium,52,5,10,-5,1,High,3.9
B-1388,Fish,Chilled,B,2026-02-09,2026-02-14,289,Refrigerated,New York,R-1388,406,5.64,direct,42.6,7,15.6,35.1,1.565,High,88,5,7,-2,1,High,4.4
B-1389,Meat,Chilled,B,2026-01-31,2026-02-05,320,Refrigerated,Los Angeles,R-1389,444,8.71,warehouse,32.5,7,4.9,56.8,1.686,Medium,41,5,7,-2,1,High,2.2
B-1390,Meat,Chilled,C,2026-02-08,2026-02-13,234,Refrigerated,Houston,R-1390,240,3.12,warehouse,78.9,3,15.0,73.1,1.7380000000000002,Medium,90,5,3,2,1,High,5.7
B-1391,Milk,Chilled,B,2026-01-31,2026-02-07,213,Refrigerated,New York,R-1391,403,5.04,warehouse,71.4,3,13.4,49.0,1.565,High,77,7,3,4,0,High,4.8
B-1392,Onion,Fresh,A,2026-02-02,2026-02-16,398,Ambient,Phoenix,R-1392,292,5.31,warehouse,100.0,0,18.0,87.3,1.8536,Medium,99,14,0,14,0,Medium,6.7
B-1393,Meat,Chilled,B,2026-02-03,2026-02-08,306,Refrigerated,Los Angeles,R-1393,272,3.94,warehouse,58.4,10,15.4,54.4,1.686,Medium,41,5,10,-5,1,High,3.1
B-1394,Onion,Fresh,A,2026-02-02,2026-02-16,495,Ambient,Houston,R-1394,72,1.6,direct,77.2,4,21.2,62.3,1.7380000000000002,Medium,84,14,4,10,0,Medium,5.6
B-1395,Milk,Chilled,B,2026-02-09,2026-02-16,183,Refrigerated,New York,R-1395,286,6.09,warehouse,93.3,2,9.3,72.7,1.565,High,77,7,2,5,0,Medium,5.6
B-1396,Milk,Chilled,B,2026-02-01,2026-02-08,328,Refrigerated,Phoenix,R-1396,367,7.2,direct,27.7,9,3.1,79.9,1.8536,Medium,44,7,9,-2,1,High,2.2
B-1397,Tomato,Fresh,A,2026-02-05,2026-02-19,375,Ambient,Los Angeles,R-1397,197,2.46,direct,93.9,1,12.9,77.1,1.686,Medium,77,14,1,13,0,Medium,5.7
B-1398,Tomato,Fresh,C,2026-02-08,2026-02-22,58,Ambient,New York,R-1398,438,6.08,warehouse,80.2,2,8.0,45.0,1.565,High,99,14,2,12,0,Medium,5.9
B-1399,Milk,Chilled,A,2026-02-07,2026-02-14,141,Refrigerated,Houston,R-1399,396,6.6,direct,42.1,6,13.7,73.8,1.7380000000000002,Medium,74,7,6,1,1,High,3.8
B-1400,Meat,Chilled,C,2026-02-08,2026-02-13,160,Refrigerated,Chicago,R-1400,10,0.24,direct,20.3,10,15.0,60.1,1.7147999999999999,Medium,91,5,10,-5,1,High,4.2
B-1401,Onion,Fresh,B,2026-02-06,2026-02-20,56,Ambient,Phoenix,R-1401,61,0.85,direct,74.8,5,17.7,74.8,1.8536,Medium,99,14,5,9,0,Medium,6.1
B-1402,Onion,Fresh,C,2026-02-03,2026-02-17,144,Ambient,Houston,R-1402,359,7.98,direct,13.8,9,20.2,54.4,1.7380000000000002,Medium,84,14,9,5,0,High,3.4
B-1403,Meat,Chilled,B,2026-02-05,2026-02-10,117,Refrigerated,New York,R-1403,300,6.67,warehouse,87.8,5,13.2,83.1,1.565,High,66,5,5,0,1,High,5.0
B-1404,Tomato,Fresh,C,2026-02-07,2026-02-21,225,Ambient,Phoenix,R-1404,289,3.85,direct,84.4,3,16.9,72.5,1.8536,Medium,95,14,3,11,0,Medium,6.0
B-1405,Meat,Chilled,B,2026-02-03,2026-02-08,247,Refrigerated,Chicago,R-1405,162,2.19,warehouse,19.0,10,23.5,83.4,1.7147999999999999,Medium,91,5,10,-5,1,High,4.0
B-1406,Tomato,Fresh,C,2026-02-01,2026-02-15,209,Ambient,Chicago,R-1406,95,2.02,direct,100.0,0,14.0,66.0,1.7147999999999999,Medium,72,14,0,14,0,Medium,5.8
B-1407,Milk,Chilled,C,2026-02-04,2026-02-11,418,Refrigerated,Chicago,R-1407,440,7.33,warehouse,72.7,10,10.1,54.1,1.7147999999999999,Medium,42,7,10,-3,1,Medium,3.4
B-1408,Meat,Chilled,A,2026-02-04,2026-02-09,202,Refrigerated,Chicago,R-1408,241,4.16,warehouse,100.0,0,7.4,71.6,1.7147999999999999,Medium,91,5,0,5,0,Medium,6.4
B-1409,Milk,Chilled,C,2026-02-08,2026-02-15,137,Refrigerated,Houston,R-1409,467,8.34,direct,30.4,10,11.8,67.0,1.7380000000000002,Medium,74,7,10,-3,1,High,3.4
B-1410,Tomato,Fresh,C,2026-02-03,2026-02-17,286,Ambient,New York,R-1410,229,3.63,warehouse,88.8,5,22.3,56.3,1.565,High,99,14,5,9,0,Medium,6.4
B-1411,Onion,Fresh,A,2026-02-08,2026-02-22,145,Ambient,New York,R-1411,253,3.33,direct,94.9,2,4.8,32.8,1.565,High,69,14,2,12,0,Medium,5.4
B-1412,Onion,Fresh,C,2026-02-06,2026-02-20,218,Ambient,Chicago,R-1412,488,7.62,warehouse,94.3,1,13.6,44.3,1.7147999999999999,Medium,55,14,1,13,0,Medium,4.5
B-1413,Fish,Chilled,B,2026-02-06,2026-02-11,167,Refrigerated,Phoenix,R-1413,104,1.93,warehouse,100.0,0,22.2,62.6,1.8536,Medium,66,5,0,5,0,High,5.5
B-1414,Meat,Chilled,A,2026-02-01,2026-02-06,86,Refrigerated,Houston,R-1414,140,1.77,direct,52.7,7,20.6,44.0,1.7380000000000002,Medium,90,5,7,-2,1,High,5.0
B-1415,Onion,Fresh,C,2026-02-01,2026-02-15,253,Ambient,New York,R-1415,364,4.92,direct,75.3,6,5.1,88.9,1.565,High,69,14,6,8,0,Medium,4.7
B-1416,Fish,Chilled,C,2026-02-08,2026-02-13,500,Refrigerated,Chicago,R-1416,417,8.34,direct,81.8,2,10.1,70.6,1.7147999999999999,Medium,52,5,2,3,0,Medium,4.1
B-1417,Meat,Chilled,B,2026-02-02,2026-02-07,277,Refrigerated,Los Angeles,R-1417,118,1.84,direct,79.6,4,9.8,56.9,1.686,Medium,41,5,4,1,1,Medium,3.9
B-1418,Meat,Chilled,B,2026-02-04,2026-02-09,326,Refrigerated,Chicago,R-1418,19,0.35,direct,92.3,1,16.0,49.1,1.7147999999999999,Medium,91,5,1,4,0,High,6.4
B-1419,Milk,Chilled,B,2026-02-02,2026-02-09,500,Refrigerated,Los Angeles,R-1419,328,5.12,warehouse,80.7,4,5.3,67.4,1.686,Medium,56,7,4,3,0,Medium,4.3
B-1420,Milk,Chilled,A,2026-01-31,2026-02-07,300,Refrigerated,New York,R-1420,443,7.26,warehouse,76.7,5,4.3,37.7,1.565,High,77,7,5,2,1,Medium,4.9
B-1421,Tomato,Fresh,B,2026-02-03,2026-02-17,145,Ambient,Houston,R-1421,407,6.07,warehouse,100.0,0,5.5,53.9,1.7380000000000002,Medium,83,14,0,14,0,Medium,5.9
B-1422,Meat,Chilled,A,2026-02-03,2026-02-08,286,Refrigerated,New York,R-1422,440,8.0,direct,71.2,4,9.7,50.2,1.565,High,66,5,4,1,1,Medium,4.3
B-1423,Meat,Chilled,C,2026-02-04,2026-02-09,368,Refrigerated,Phoenix,R-1423,346,5.01,warehouse,55.7,7,12.9,64.9,1.8536,Medium,81,5,7,-2,1,High,4.6
B-1424,Milk,Chilled,B,2026-02-06,2026-02-13,118,Refrigerated,Chicago,R-1424,481,6.77,direct,49.1,6,20.0,77.7,1.7147999999999999,Medium,42,7,6,1,1,High,2.7
B-1425,Onion,Fresh,B,2026-02-05,2026-02-19,221,Ambient,Houston,R-1425,64,0.84,warehouse,39.0,9,12.5,61.4,1.7380000000000002,Medium,84,14,9,5,0,High,4.5
B-1426,Tomato,Fresh,B,2026-02-05,2026-02-19,238,Ambient,Chicago,R-1426,242,4.75,direct,92.1,1,16.9,52.5,1.7147999999999999,Medium,72,14,1,13,0,Medium,5.4
B-1427,Onion,Fresh,B,2026-02-08,2026-02-22,54,Ambient,Chicago,R-1427,343,5.36,warehouse,87.1,2,8.0,46.5,1.7147999999999999,Medium,55,14,2,12,0,Medium,4.5
B-1428,Tomato,Fresh,A,2026-02-01,2026-02-15,215,Ambient,Phoenix,R-1428,97,1.73,direct,82.0,2,11.3,31.6,1.8536,Medium,95,14,2,12,0,Medium,6.2
B-1429,Fish,Chilled,C,2026-02-06,2026-02-11,456,Refrigerated,Houston,R-1429,349,8.12,warehouse,32.2,10,20.5,74.0,1.7380000000000002,Medium,77,5,10,-5,1,High,3.7
B-1430,Milk,Chilled,C,2026-02-09,2026-02-16,387,Refrigerated,New York,R-1430,200,3.17,direct,88.4,5,18.3,83.1,1.565,High,77,7,5,2,1,High,5.5
B-1431,Meat,Chilled,A,2026-02-03,2026-02-08,436,Refrigerated,Los Angeles,R-1431,29,0.4,direct,77.9,3,22.4,69.4,1.686,Medium,41,5,3,2,1,High,3.9
B-1432,Onion,Fresh,C,2026-02-07,2026-02-21,205,Ambient,Phoenix,R-1432,191,3.54,direct,76.2,3,17.7,72.0,1.8536,Medium,99,14,3,11,0,Medium,6.1
B-1433,Fish,Chilled,B,2026-02-03,2026-02-08,304,Refrigerated,Chicago,R-1433,474,6.16,warehouse,91.1,3,22.8,61.0,1.7147999999999999,Medium,52,5,3,2,1,High,4.3
B-1434,Fish,Chilled,B,2026-02-09,2026-02-14,137,Refrigerated,Phoenix,R-1434,70,1.21,warehouse,11.3,10,15.4,56.8,1.8536,Medium,66,5,10,-5,1,High,2.9
B-1435,Fish,Chilled,A,2026-02-06,2026-02-11,393,Refrigerated,Phoenix,R-1435,79,1.46,direct,56.5,10,5.9,65.3,1.8536,Medium,66,5,10,-5,1,Medium,4.3
B-1436,Onion,Fresh,C,2026-02-09,2026-02-23,394,Ambient,Los Angeles,R-1436,97,1.41,direct,91.4,1,11.2,61.8,1.686,Medium,60,14,1,13,0,Medium,5.0
B-1437,Meat,Chilled,C,2026-02-04,2026-02-09,451,Refrigerated,New York,R-1437,420,8.4,warehouse,74.9,5,8.2,52.9,1.565,High,66,5,5,0,1,Medium,4.5
B-1438,Onion,Fresh,A,2026-02-05,2026-02-19,340,Ambient,Houston,R-1438,347,4.45,direct,71.4,6,7.4,83.3,1.7380000000000002,Medium,84,14,6,8,0,Medium,5.2
B-1439,Onion,Fresh,C,2026-02-02,2026-02-16,407,Ambient,Houston,R-1439,473,6.14,warehouse,100.0,0,12.5,87.3,1.7380000000000002,Medium,84,14,0,14,0,Medium,5.9
B-1440,Milk,Chilled,B,2026-02-02,2026-02-09,280,Refrigerated,Houston,R-1440,188,3.42,warehouse,72.7,8,14.4,85.5,1.7380000000000002,Medium,74,7,8,-1,1,High,5.0
B-1441,Tomato,Fresh,B,2026-02-05,2026-02-19,466,Ambient,Chicago,R-1441,476,6.9,direct,20.2,10,4.9,33.8,1.7147999999999999,Medium,72,14,10,4,0,High,3.0
B-1442,Milk,Chilled,C,2026-02-07,2026-02-14,251,Refrigerated,Houston,R-1442,103,1.69,direct,100.0,0,22.1,74.1,1.7380000000000002,Medium,74,7,0,7,0,High,5.9
B-1443,Fish,Chilled,C,2026-02-07,2026-02-12,188,Refrigerated,Los Angeles,R-1443,76,0.97,direct,71.9,6,6.2,52.9,1.686,Medium,46,5,6,-1,1,Medium,3.9
B-1444,Fish,Chilled,A,2026-02-01,2026-02-06,230,Refrigerated,Chicago,R-1444,88,1.31,warehouse,75.4,7,10.4,55.3,1.7147999999999999,Medium,52,5,7,-2,1,Medium,4.3
B-1445,Fish,Chilled,A,2026-02-02,2026-02-07,343,Refrigerated,New York,R-1445,313,6.52,warehouse,8.4,10,2.1,45.1,1.565,High,88,5,10,-5,1,High,3.5
B-1446,Milk,Chilled,A,2026-02-03,2026-02-10,249,Refrigerated,Phoenix,R-1446,300,4.11,direct,51.6,7,14.2,85.2,1.8536,Medium,44,7,7,0,1,High,3.0
B-1447,Fish,Chilled,A,2026-02-04,2026-02-09,369,Refrigerated,New York,R-1447,478,9.96,warehouse,55.0,9,3.6,30.5,1.565,High,88,5,9,-4,1,Medium,4.7
B-1448,Milk,Chilled,B,2026-02-01,2026-02-08,271,Refrigerated,Houston,R-1448,98,2.33,warehouse,100.0,0,12.2,55.4,1.7380000000000002,Medium,74,7,0,7,0,High,5.9
B-1449,Onion,Fresh,A,2026-02-01,2026-02-15,90,Ambient,New York,R-1449,238,3.4,warehouse,49.4,9,18.9,72.6,1.565,High,69,14,9,5,0,High,4.0
B-1450,Milk,Chilled,A,2026-02-06,2026-02-13,105,Refrigerated,Houston,R-1450,431,5.75,warehouse,58.6,8,3.1,72.7,1.7380000000000002,Medium,74,7,8,-1,1,Medium,4.3
B-1451,Milk,Chilled,A,2026-02-09,2026-02-16,110,Refrigerated,New York,R-1451,259,4.18,warehouse,48.6,8,18.2,62.6,1.565,High,77,7,8,-1,1,High,4.3
B-1452,Fish,Chilled,A,2026-01-31,2026-02-05,383,Refrigerated,Houston,R-1452,155,2.35,direct,79.6,5,17.9,32.0,1.7380000000000002,Medium,77,5,5,0,1,High,5.3
B-1453,Meat,Chilled,B,2026-02-05,2026-02-10,479,Refrigerated,Los Angeles,R-1453,201,4.1,direct,58.1,5,15.5,74.5,1.686,Medium,41,5,5,0,1,High,3.2
B-1454,Meat,Chilled,A,2026-02-03,2026-02-08,423,Refrigerated,Phoenix,R-1454,401,5.42,warehouse,77.3,10,18.2,72.7,1.8536,Medium,81,5,10,-5,1,High,5.2
B-1455,Milk,Chilled,B,2026-02-03,2026-02-10,219,Refrigerated,Chicago,R-1455,282,3.71,direct,84.0,3,22.2,86.0,1.7147999999999999,Medium,42,7,3,4,0,High,3.9
B-1456,Meat,Chilled,B,2026-02-01,2026-02-06,350,Refrigerated,Los Angeles,R-1456,231,3.67,warehouse,100.0,0,23.7,85.0,1.686,Medium,41,5,0,5,0,High,4.4
B-1457,Meat,Chilled,C,2026-02-04,2026-02-09,333,Refrigerated,Chicago,R-1457,218,3.25,direct,100.0,0,22.6,46.7,1.7147999999999999,Medium,91,5,0,5,0,High,6.4
B-1458,Meat,Chilled,A,2026-02-09,2026-02-14,228,Refrigerated,New York,R-1458,70,1.59,direct,97.9,1,14.1,31.7,1.565,High,66,5,1,4,0,High,5.5
B-1459,Onion,Fresh,B,2026-02-04,2026-02-18,121,Ambient,Los Angeles,R-1459,380,7.76,warehouse,28.7,8,5.4,71.6,1.686,Medium,60,14,8,6,0,High,2.9
B-1460,Onion,Fresh,A,2026-01-31,2026-02-14,183,Ambient,Los Angeles,R-1460,218,5.32,direct,47.7,9,4.1,60.6,1.686,Medium,60,14,9,5,0,High,3.6
B-1461,Milk,Chilled,C,2026-02-03,2026-02-10,253,Refrigerated,New York,R-1461,51,1.16,warehouse,100.0,0,12.1,56.4,1.565,High,77,7,0,7,0,High,6.0
B-1462,Onion,Fresh,B,2026-01-31,2026-02-14,247,Ambient,Los Angeles,R-1462,59,0.81,direct,58.6,9,17.0,78.6,1.686,Medium,60,14,9,5,0,Medium,4.1
B-1463,Meat,Chilled,B,2026-01-31,2026-02-05,495,Refrigerated,Los Angeles,R-1463,320,8.0,direct,87.7,3,13.8,65.1,1.686,Medium,41,5,3,2,1,High,4.0
B-1464,Milk,Chilled,B,2026-02-03,2026-02-10,89,Refrigerated,New York,R-1464,462,9.24,direct,90.6,1,7.2,54.8,1.565,High,77,7,1,6,0,Medium,5.3
B-1465,Milk,Chilled,A,2026-02-06,2026-02-13,86,Refrigerated,New York,R-1465,183,3.0,warehouse,83.3,2,18.8,62.0,1.565,High,77,7,2,5,0,High,5.4
B-1466,Fish,Chilled,A,2026-02-04,2026-02-09,371,Refrigerated,Chicago,R-1466,399,4.99,warehouse,93.8,1,7.0,57.7,1.7147999999999999,Medium,52,5,1,4,0,Medium,4.5
B-1467,Onion,Fresh,B,2026-02-02,2026-02-16,236,Ambient,New York,R-1467,447,9.31,warehouse,79.3,9,17.0,59.2,1.565,High,69,14,9,5,0,Medium,4.7
B-1468,Fish,Chilled,B,2026-01-31,2026-02-05,422,Refrigerated,Phoenix,R-1468,315,4.7,direct,100.0,0,21.8,40.1,1.8536,Medium,66,5,0,5,0,High,5.3
B-1469,Onion,Fresh,A,2026-02-06,2026-02-20,250,Ambient,Houston,R-1469,31,0.56,warehouse,60.7,4,17.8,78.8,1.7380000000000002,Medium,84,14,4,10,0,Medium,5.2
B-1470,Onion,Fresh,A,2026-02-05,2026-02-19,117,Ambient,Los Angeles,R-1470,398,5.53,warehouse,100.0,0,4.2,41.8,1.686,Medium,60,14,0,14,0,Medium,5.0
B-1471,Fish,Chilled,C,2026-02-03,2026-02-08,103,Refrigerated,Los Angeles,R-1471,192,3.69,direct,96.2,1,13.9,42.7,1.686,Medium,46,5,1,4,0,High,4.5
B-1472,Fish,Chilled,C,2026-02-03,2026-02-08,216,Refrigerated,Houston,R-1472,201,3.65,direct,51.0,8,18.3,80.4,1.7380000000000002,Medium,77,5,8,-3,1,High,4.4
B-1473,Meat,Chilled,B,2026-02-02,2026-02-07,492,Refrigerated,Chicago,R-1473,28,0.37,direct,75.7,10,21.6,69.3,1.7147999999999999,Medium,91,5,10,-5,1,High,5.9
B-1474,Tomato,Fresh,A,2026-02-01,2026-02-15,374,Ambient,Houston,R-1474,84,1.35,direct,84.8,2,17.8,70.6,1.7380000000000002,Medium,83,14,2,12,0,Medium,5.8
B-1475,Tomato,Fresh,A,2026-02-06,2026-02-20,183,Ambient,Houston,R-1475,342,4.89,warehouse,79.9,4,11.5,33.5,1.7380000000000002,Medium,83,14,4,10,0,Medium,5.4
B-1476,Milk,Chilled,B,2026-02-09,2026-02-16,400,Refrigerated,New York,R-1476,303,7.39,direct,82.4,6,23.2,52.7,1.565,High,77,7,6,1,1,High,5.2
B-1477,Onion,Fresh,C,2026-02-07,2026-02-21,287,Ambient,New York,R-1477,55,1.06,warehouse,92.5,2,17.5,72.3,1.565,High,69,14,2,12,0,Medium,5.5
B-1478,Onion,Fresh,C,2026-01-31,2026-02-14,116,Ambient,Phoenix,R-1478,147,2.07,direct,58.9,9,19.6,41.0,1.8536,Medium,99,14,9,5,0,Medium,5.6
B-1479,Meat,Chilled,B,2026-02-05,2026-02-10,205,Refrigerated,Chicago,R-1479,181,2.78,warehouse,63.1,6,23.6,54.4,1.7147999999999999,Medium,91,5,6,-1,1,High,5.4
B-1480,Meat,Chilled,B,2026-02-04,2026-02-09,100,Refrigerated,Chicago,R-1480,160,2.13,direct,64.5,5,24.5,87.3,1.7147999999999999,Medium,91,5,5,0,1,High,5.4
B-1481,Meat,Chilled,C,2026-02-02,2026-02-07,85,Refrigerated,Houston,R-1481,235,5.11,warehouse,100.0,0,24.8,45.0,1.7380000000000002,Medium,90,5,0,5,0,High,6.4
B-1482,Onion,Fresh,C,2026-02-06,2026-02-20,136,Ambient,Phoenix,R-1482,309,4.61,direct,68.6,6,18.3,40.8,1.8536,Medium,99,14,6,8,0,Medium,5.7
B-1483,Meat,Chilled,A,2026-02-03,2026-02-08,308,Refrigerated,Houston,R-1483,297,4.64,direct,100.0,0,8.2,79.0,1.7380000000000002,Medium,90,5,0,5,0,Medium,6.3
B-1484,Milk,Chilled,C,2026-02-05,2026-02-12,377,Refrigerated,Phoenix,R-1484,497,8.57,direct,85.1,5,17.1,72.3,1.8536,Medium,44,7,5,2,1,High,3.8
B-1485,Tomato,Fresh,A,2026-02-06,2026-02-20,215,Ambient,Chicago,R-1485,435,8.7,warehouse,100.0,0,22.2,43.9,1.7147999999999999,Medium,72,14,0,14,0,Medium,5.4
B-1486,Milk,Chilled,A,2026-02-08,2026-02-15,428,Refrigerated,Los Angeles,R-1486,110,1.69,warehouse,34.7,7,23.1,69.3,1.686,Medium,56,7,7,0,1,High,3.2
B-1487,Onion,Fresh,B,2026-02-06,2026-02-20,442,Ambient,Los Angeles,R-1487,80,1.36,direct,0.5,10,22.5,79.1,1.686,Medium,60,14,10,4,0,High,2.3
B-1488,Onion,Fresh,A,2026-02-03,2026-02-17,108,Ambient,New York,R-1488,408,5.75,warehouse,83.1,3,9.5,55.5,1.565,High,69,14,3,11,0,Medium,4.8
B-1489,Tomato,Fresh,B,2026-02-05,2026-02-19,92,Ambient,New York,R-1489,93,2.21,direct,66.3,8,11.3,77.7,1.565,High,99,14,8,6,0,Medium,5.9
B-1490,Meat,Chilled,C,2026-02-03,2026-02-08,459,Refrigerated,New York,R-1490,379,5.19,warehouse,95.1,1,19.0,76.8,1.565,High,66,5,1,4,0,High,5.1
B-1491,Meat,Chilled,B,2026-02-08,2026-02-13,292,Refrigerated,Phoenix,R-1491,453,7.43,direct,100.0,0,19.3,89.8,1.8536,Medium,81,5,0,5,0,High,5.8
B-1492,Tomato,Fresh,B,2026-01-31,2026-02-14,131,Ambient,New York,R-1492,184,3.07,direct,26.2,8,18.2,50.3,1.565,High,99,14,8,6,0,High,4.6
B-1493,Milk,Chilled,A,2026-02-05,2026-02-12,390,Refrigerated,New York,R-1493,19,0.32,warehouse,68.6,9,9.4,82.7,1.565,High,77,7,9,-2,1,Medium,5.1
B-1494,Onion,Fresh,C,2026-01-31,2026-02-14,153,Ambient,Chicago,R-1494,72,1.22,warehouse,87.3,2,22.4,32.6,1.7147999999999999,Medium,55,14,2,12,0,Medium,4.7
B-1495,Onion,Fresh,A,2026-02-03,2026-02-17,448,Ambient,Chicago,R-1495,218,4.45,direct,61.7,10,8.9,49.8,1.7147999999999999,Medium,55,14,10,4,0,Medium,3.8
B-1496,Meat,Chilled,A,2026-02-02,2026-02-07,352,Refrigerated,Phoenix,R-1496,445,9.08,warehouse,82.3,3,8.1,56.8,1.8536,Medium,81,5,3,2,1,Medium,5.3
B-1497,Milk,Chilled,A,2026-02-03,2026-02-10,382,Refrigerated,Houston,R-1497,387,6.05,warehouse,100.0,0,11.0,75.5,1.7380000000000002,Medium,74,7,0,7,0,High,5.6
B-1498,Tomato,Fresh,A,2026-02-03,2026-02-17,350,Ambient,Chicago,R-1498,397,6.3,warehouse,81.2,3,16.7,33.7,1.7147999999999999,Medium,72,14,3,11,0,Medium,4.9
