batch_id,current_freshness,days_in_storage,temperature,humidity
B-1734,70.0,4,15.3,71.3
B-1735,43.0,7,5.3,85.9
B-1736,100.0,0,22.1,56.3
B-1737,31.3,10,15.6,62.5
B-1738,37.2,10,16.2,84.9
B-1739,53.2,5,9.0,42.8
B-1740,33.5,7,14.1,75.0
B-1741,93.7,1,24.8,41.8
B-1742,64.9,6,10.9,44.7
B-1743,77.0,3,18.0,80.8
B-1744,78.9,4,14.7,47.6
B-1745,100.0,0,5.6,37.6
B-1746,64.3,5,11.7,74.9
B-1747,70.4,3,4.7,81.9
B-1748,1.1,10,12.7,84.2
B-1749,85.4,2,17.1,80.3
B-1750,54.6,5,18.3,46.7
B-1751,59.0,8,10.9,58.2
B-1752,67.8,8,5.9,61.4
B-1753,50.7,5,7.1,70.2
B-1754,92.6,1,10.8,40.0
B-1755,65.7,9,4.0,63.9
B-1756,43.2,9,7.6,53.6
B-1757,42.8,8,6.1,73.8
B-1758,67.3,6,9.0,64.9
B-1759,35.3,8,15.0,88.6
B-1760,85.0,3,10.7,49.2
B-1761,95.5,1,20.3,64.4
B-1762,11.6,10,23.8,70.9
B-1763,77.3,3,12.4,53.6
B-1764,78.9,6,12.2,51.3
B-1765,45.7,10,10.2,61.4
B-1766,80.9,4,4.1,43.0
B-1767,87.7,3,22.4,55.6
B-1768,100.0,0,20.1,35.1
B-1769,56.1,5,10.8,72.7
B-1770,92.8,2,11.1,53.3
B-1771,34.1,8,20.2,68.6
B-1772,39.7,9,16.1,51.2
B-1773,91.7,2,19.3,35.1
B-1774,96.7,1,17.3,56.5
B-1775,39.1,10,8.5,52.3
B-1776,77.5,3,17.2,62.5
B-1777,60.4,9,2.5,81.3
B-1778,91.5,1,6.4,65.8
B-1779,82.9,3,3.3,76.1
B-1780,96.4,1,8.4,52.1
B-1781,70.7,5,19.8,60.5
B-1782,23.1,8,14.4,40.0
B-1783,81.9,3,23.4,34.3
B-1784,35.4,7,18.2,69.6
B-1785,52.9,8,11.7,89.0
B-1786,32.7,10,8.0,50.3
B-1787,96.8,1,10.1,54.2
B-1788,39.7,9,23.5,83.6
B-1789,55.3,10,24.8,68.0
B-1790,40.6,10,14.5,76.9
B-1791,93.9,2,11.8,79.1
B-1792,100.0,0,21.1,40.6
B-1793,59.6,6,6.4,62.6
B-1794,48.2,8,8.3,62.9
B-1795,97.0,1,5.3,70.1
B-1796,55.1,8,24.8,83.3
B-1797,42.1,8,9.8,60.2
B-1798,12.6,9,14.7,32.2
B-1799,74.4,8,10.4,75.8
B-1800,100.0,0,15.8,36.1
B-1801,85.9,3,22.5,75.3
B-1802,2.4,10,6.2,88.3
B-1803,100.0,0,6.3,43.0
B-1804,86.7,2,14.9,40.0
B-1805,3.8,10,14.0,78.7
B-1806,93.7,3,12.9,69.3
B-1807,32.8,8,7.8,74.2
B-1808,45.5,7,24.3,52.7
B-1809,96.8,1,16.9,57.4
B-1810,71.0,6,4.1,67.9
B-1811,100.0,0,18.4,69.7
B-1812,66.7,4,2.4,89.9
B-1813,42.9,6,16.9,44.2
B-1814,71.8,6,10.5,39.8
B-1815,70.5,4,17.6,65.6
B-1816,81.4,5,11.1,77.4
B-1817,86.8,4,11.4,67.9
B-1818,58.5,10,5.1,46.5
B-1819,92.7,2,16.1,41.7
B-1820,75.2,9,16.5,30.3
B-1821,25.2,9,4.6,32.1
B-1822,84.0,2,24.3,31.7
B-1823,94.7,2,14.6,87.3
B-1824,78.2,10,10.3,40.8
B-1825,75.8,7,16.1,80.5
B-1826,63.4,6,11.1,83.5
B-1827,18.0,9,23.2,56.5
B-1828,67.6,6,4.3,43.9
B-1829,100.0,0,19.3,36.3
B-1830,46.5,8,17.3,32.8
B-1831,80.1,8,20.2,34.3
B-1832,83.6,7,3.1,81.8
B-1833,74.7,4,5.3,53.9
B-1834,100.0,0,16.8,45.6
B-1835,88.7,5,7.4,36.2
B-1836,62.2,5,19.4,80.1
B-1837,33.6,9,13.0,67.9
B-1838,82.2,8,16.6,68.6
B-1839,71.8,8,16.9,61.9
B-1840,90.6,4,14.1,89.2
B-1841,83.7,4,5.5,35.5
B-1842,87.9,3,2.3,88.6
B-1843,32.0,8,20.5,65.0
B-1844,61.5,5,9.6,50.8
B-1845,24.7,9,14.2,75.3
B-1846,41.6,10,19.9,40.9
B-1847,42.7,6,6.6,75.6
B-1848,21.8,10,10.5,68.0
B-1849,74.0,4,14.7,78.6
B-1850,51.0,8,11.9,55.1
B-1851,56.6,8,21.3,45.7
B-1852,79.1,4,5.6,77.4
B-1853,85.6,6,17.7,89.1
B-1854,89.8,3,22.8,35.5
B-1855,80.9,3,12.5,70.9
B-1856,58.0,6,12.4,60.9
B-1857,62.4,10,10.8,72.6
B-1858,90.5,2,4.1,34.6
B-1859,83.0,2,7.1,66.9
B-1860,70.2,7,3.3,61.5
B-1861,42.3,10,16.9,35.4
B-1862,38.1,9,12.8,46.1
B-1863,100.0,0,3.4,82.2
B-1864,81.6,3,18.2,61.5
B-1865,75.9,5,17.7,51.0
B-1866,64.9,5,8.3,54.0
B-1867,50.2,5,15.0,72.1
B-1868,92.6,1,20.3,83.9
B-1869,75.1,10,8.8,64.4
B-1870,62.8,6,23.1,62.7
B-1871,88.5,2,3.4,49.8
B-1872,94.4,1,2.8,35.4
B-1873,95.7,1,17.5,89.9
B-1874,38.8,7,20.7,39.5
B-1875,34.1,7,12.8,66.7
B-1876,93.0,2,2.8,32.5
B-1877,75.7,8,14.6,83.7
B-1878,45.4,10,11.3,46.4
B-1879,93.5,2,6.7,59.4
B-1880,95.3,1,15.8,82.1
B-1881,76.1,4,5.6,32.7
B-1882,91.8,1,13.3,68.2
B-1883,41.6,7,13.3,89.5
B-1884,75.9,3,17.9,70.4
B-1885,70.5,5,4.7,84.3
B-1886,80.0,3,4.9,75.4
B-1887,84.0,8,20.1,67.6
B-1888,95.9,2,16.0,54.7
B-1889,71.6,4,14.0,30.4
B-1890,45.6,10,8.6,79.4
B-1891,0.7,10,18.9,77.9
B-1892,62.4,4,19.5,78.3
B-1893,41.7,7,14.0,46.4
B-1894,17.8,9,12.5,88.9
B-1895,25.9,10,8.9,31.2
B-1896,100.0,0,9.3,64.9
B-1897,95.2,1,13.3,64.7
B-1898,52.6,8,11.9,57.1
B-1899,92.6,1,9.6,46.8
B-1900,74.5,4,20.7,72.3
B-1901,76.0,9,16.3,61.8
B-1902,65.7,7,9.3,35.5
B-1903,69.3,8,24.9,57.3
B-1904,95.6,1,4.6,53.9
B-1905,46.1,6,7.7,63.0
B-1906,87.1,5,3.2,36.1
B-1907,72.7,7,9.0,82.4
B-1908,88.8,5,16.1,67.1
B-1909,32.6,9,3.9,31.0
B-1910,86.7,4,11.8,64.3
B-1911,78.5,9,13.1,70.2
B-1912,91.1,1,8.9,69.0
B-1913,96.6,1,19.0,57.0
B-1914,58.8,8,18.3,34.5
B-1915,81.6,2,4.0,84.5
B-1916,83.7,2,22.1,35.7
B-1917,53.6,6,24.0,84.0
B-1918,100.0,0,12.4,72.4
B-1919,21.6,10,21.4,56.1
B-1920,100.0,0,7.3,77.0
B-1921,65.7,8,22.1,36.5
B-1922,17.7,9,12.4,36.3
B-1923,64.4,4,4.6,38.3
B-1924,85.3,6,8.7,64.1
B-1925,44.9,9,7.2,66.1
B-1926,76.9,5,2.2,75.3
B-1927,52.5,10,20.3,79.1
B-1928,91.9,1,9.2,57.6
B-1929,80.6,2,13.0,30.4
B-1930,81.6,4,8.7,57.0
B-1931,42.7,9,6.9,88.8
B-1932,90.3,2,18.9,64.8
B-1933,50.5,7,14.2,82.9
B-1934,80.0,4,5.8,35.5
B-1935,28.6,10,15.8,84.5
B-1936,88.5,2,21.4,73.5
B-1937,74.2,7,14.5,51.0
B-1938,84.0,4,19.3,61.3
B-1939,62.8,4,21.5,36.8
B-1940,83.0,3,5.8,86.9
B-1941,72.7,8,22.8,38.1
B-1942,17.8,10,19.0,37.7
B-1943,91.0,3,5.6,77.1
B-1944,31.5,8,12.8,80.2
B-1945,56.5,5,19.8,53.9
B-1946,71.6,7,21.3,70.4
B-1947,80.5,2,4.6,39.6
B-1948,59.3,8,20.3,65.9
B-1949,41.7,8,9.7,72.7
B-1950,83.4,3,4.3,59.5
B-1951,62.3,5,8.0,50.3
B-1952,84.1,4,4.5,48.6
B-1953,100.0,0,13.6,83.8
B-1954,68.3,9,11.9,76.4
B-1955,86.4,2,19.1,87.3
B-1956,50.1,10,8.4,30.2
B-1957,16.8,9,5.3,60.6
B-1958,35.0,10,17.4,30.3
B-1959,93.0,1,13.9,71.2
B-1960,95.7,1,12.5,60.8
B-1961,84.6,3,8.6,84.2
B-1962,68.8,8,3.4,79.8
B-1963,57.9,6,4.2,64.4
B-1964,83.8,4,20.4,52.9
B-1965,74.0,6,7.7,77.4
B-1966,70.7,10,6.7,78.7
B-1967,71.7,5,7.3,36.4
B-1968,82.4,6,22.0,40.0
B-1969,84.7,3,6.3,85.0
B-1970,77.9,9,21.8,67.0
B-1971,87.5,4,17.2,58.0
B-1972,80.2,2,20.9,36.6
B-1973,79.9,6,18.7,33.9
B-1974,23.9,9,11.1,59.2
B-1975,75.0,10,15.7,38.5
B-1976,87.9,2,10.8,32.0
B-1977,94.2,1,16.4,66.4
B-1978,85.2,2,4.4,84.0
B-1979,53.8,6,19.8,76.2
B-1980,71.0,3,18.3,68.5
B-1981,77.5,3,9.7,63.9
B-1982,37.4,9,16.7,76.6
B-1983,8.9,10,6.1,30.1
B-1984,65.8,4,6.1,49.2
B-1985,79.1,9,3.0,32.6
B-1986,78.2,4,19.6,68.7
B-1987,66.8,7,20.2,68.4
B-1988,79.2,7,3.4,30.3
B-1989,91.1,2,17.6,47.9
B-1990,84.3,7,8.7,42.2
B-1991,100.0,0,18.1,34.8
B-1992,56.4,7,9.7,73.4
B-1993,2.0,10,18.4,76.7
B-1994,72.5,10,6.1,37.0
B-1995,57.4,7,19.6,87.5
B-1996,65.6,9,23.0,55.4
B-1997,47.7,6,16.6,69.3
B-1998,60.3,5,19.0,64.0
B-1999,58.3,5,10.8,84.4
B-2000,34.1,7,4.2,54.2
B-2001,93.0,3,14.3,85.8
B-2002,51.1,8,22.7,40.2
B-2003,38.6,8,10.9,68.6
B-2004,100.0,0,13.0,41.4
B-2005,74.6,5,14.1,85.4
B-2006,76.3,3,7.4,59.4
B-2007,89.8,5,19.0,72.9
B-2008,89.6,3,20.6,55.8
B-2009,30.3,7,9.8,31.7
B-2010,36.4,8,13.8,40.7
B-2011,92.7,1,13.3,50.5
B-2012,75.0,8,3.0,59.6
B-2013,65.8,4,4.1,48.3
B-2014,100.0,0,17.8,32.8
B-2015,62.4,9,7.0,76.3
B-2016,19.8,10,19.0,57.1
B-2017,46.5,6,17.8,56.1
B-2018,78.6,3,6.8,68.1
B-2019,86.7,4,9.2,39.3
B-2020,61.4,6,23.3,53.5
B-2021,33.0,9,23.9,33.5
B-2022,61.2,9,10.5,64.2
B-2023,60.9,7,7.6,45.9
B-2024,100.0,0,10.2,31.6
B-2025,95.3,1,24.2,89.2
B-2026,53.5,10,16.9,61.3
B-2027,65.4,6,4.5,43.7
B-2028,11.8,10,8.0,79.6
B-2029,82.6,3,17.9,55.3
B-2030,87.6,2,10.8,82.9
B-2031,100.0,0,22.0,32.8
B-2032,85.5,3,9.0,59.4
B-2033,67.6,6,5.7,54.9
B-2034,92.5,1,20.1,36.6
B-2035,100.0,0,18.5,65.0
B-2036,80.2,3,24.2,49.8
B-2037,94.5,2,21.3,50.7
B-2038,93.3,1,3.5,63.0
B-2039,62.2,5,16.4,61.4
B-2040,75.4,4,21.7,69.7
B-2041,55.8,9,3.5,52.7
B-2042,100.0,0,15.3,75.8
B-2043,45.5,8,5.6,30.9
B-2044,44.3,10,24.4,33.9
B-2045,62.2,9,24.8,40.9
B-2046,70.5,3,10.0,39.4
B-2047,86.6,2,18.9,82.9
B-2048,91.3,2,14.5,85.5
B-2049,68.4,8,11.8,87.2
B-2050,100.0,0,8.4,79.6
B-2051,50.7,7,10.2,39.6
B-2052,51.6,5,24.1,41.8
B-2053,65.9,5,21.6,37.3
B-2054,66.7,4,17.7,85.8
B-2055,87.0,2,23.1,54.6
B-2056,83.3,6,8.6,57.1
B-2057,92.7,1,8.8,81.2
B-2058,38.0,9,2.4,44.9
B-2059,86.5,6,8.4,72.0
B-2060,63.1,4,10.6,31.7
B-2061,61.5,5,21.7,59.2
B-2062,92.8,2,21.1,65.5
B-2063,100.0,0,8.3,43.9
B-2064,95.1,1,8.9,71.2
B-2065,95.5,2,14.5,79.0
B-2066,87.0,4,20.1,86.1
B-2067,94.6,2,9.2,54.5
B-2068,17.4,9,21.6,67.5
B-2069,80.3,4,8.4,68.4
B-2070,63.1,7,9.0,89.5
B-2071,66.7,7,19.3,75.7
B-2072,52.9,7,18.1,47.3
B-2073,56.6,5,20.1,79.9
B-2074,80.8,7,5.8,45.0
B-2075,76.0,7,17.3,39.2
B-2076,69.5,4,2.1,37.8
B-2077,91.5,1,21.7,37.2
B-2078,94.3,1,19.1,52.3
B-2079,53.7,7,18.0,70.5
B-2080,73.2,4,3.8,80.8
B-2081,100.0,0,10.1,76.5
B-2082,76.9,6,17.7,47.7
B-2083,43.4,9,19.6,62.0
B-2084,68.3,5,9.3,65.9
B-2085,95.0,2,7.2,43.7
B-2086,55.1,8,6.6,33.4
B-2087,67.7,6,9.5,85.3
B-2088,21.7,8,14.1,81.6
B-2089,25.8,8,15.6,45.7
B-2090,64.7,5,6.4,39.3
B-2091,43.9,8,23.9,42.7
B-2092,68.2,10,13.0,87.8
B-2093,90.3,4,17.1,74.5
B-2094,84.6,7,23.4,39.6
B-2095,94.3,2,24.0,62.4
B-2096,12.2,9,24.0,42.8
B-2097,63.7,9,22.1,58.5
B-2098,60.6,4,17.8,34.6
B-2099,86.9,2,24.4,45.1
B-2100,92.3,1,14.8,72.1
B-2101,30.8,8,5.4,85.3
B-2102,63.5,7,14.7,49.0
B-2103,94.8,2,21.6,88.9
B-2104,93.2,2,19.5,50.2
B-2105,81.1,3,21.2,71.7
B-2106,20.6,8,15.1,72.7
B-2107,62.7,6,19.7,70.3
B-2108,75.6,6,15.2,38.2
B-2109,46.5,6,22.8,43.2
B-2110,89.8,2,3.1,52.5
B-2111,87.9,3,24.8,72.7
B-2112,71.6,3,12.0,41.7
B-2113,79.6,4,9.3,50.4
B-2114,1.1,10,22.4,89.4
B-2115,89.4,2,23.8,51.1
B-2116,69.9,5,9.2,63.9
B-2117,10.7,10,14.2,67.7
B-2118,35.3,7,5.8,64.5
B-2119,93.8,1,8.1,63.5
B-2120,57.0,7,6.0,75.1
B-2121,66.6,9,6.4,72.2
B-2122,24.5,8,6.8,77.5
B-2123,80.3,5,17.2,75.1
B-2124,58.4,6,6.0,46.5
B-2125,38.0,7,6.4,67.9
B-2126,77.3,6,21.1,33.4
B-2127,90.8,1,7.9,53.0
B-2128,68.4,5,6.2,61.4
B-2129,74.0,10,5.7,53.5
B-2130,100.0,0,19.4,39.0
B-2131,77.1,3,22.2,79.1
B-2132,53.1,10,18.4,70.9
B-2133,67.3,5,23.8,42.9
B-2134,75.4,6,24.0,66.1
B-2135,75.8,4,14.7,42.0
B-2136,63.4,10,20.6,58.1
B-2137,84.0,2,2.1,30.8
B-2138,90.4,1,3.6,70.6
B-2139,60.2,9,14.1,67.3
B-2140,56.6,9,23.6,45.7
B-2141,91.4,1,20.1,47.1
B-2142,74.6,5,18.3,68.9
B-2143,53.6,6,17.2,44.7
B-2144,93.6,1,19.9,68.3
B-2145,74.0,5,21.0,82.0
B-2146,74.1,3,9.7,39.6
B-2147,74.5,4,21.1,85.2
B-2148,70.0,5,7.0,44.5
B-2149,24.9,9,20.9,43.7
B-2150,88.4,5,12.3,34.3
B-2151,90.0,1,16.9,71.8
B-2152,27.1,10,16.4,35.0
B-2153,97.1,1,20.8,50.8
B-2154,100.0,0,15.0,80.8
B-2155,75.1,3,16.3,88.6
B-2156,68.6,10,21.3,58.5
B-2157,92.6,1,18.9,45.5
B-2158,78.4,9,20.3,58.0
B-2159,79.4,8,3.8,62.4
B-2160,64.7,6,12.3,80.0
B-2161,44.1,8,6.4,35.2
B-2162,10.7,9,11.2,59.5
B-2163,96.6,1,12.9,59.9
B-2164,54.0,8,8.0,41.5
B-2165,79.3,5,22.7,85.4
B-2166,63.6,4,24.2,50.7
B-2167,77.9,5,20.9,69.9
B-2168,78.5,7,10.8,75.5
B-2169,87.1,3,21.0,40.2
B-2170,75.0,7,20.3,30.2
B-2171,100.0,0,16.5,75.0
B-2172,54.8,7,21.3,74.3
B-2173,73.2,5,6.6,42.5
B-2174,89.4,2,17.4,47.3
B-2175,76.5,8,18.3,68.9
B-2176,65.1,9,2.6,50.6
B-2177,68.4,8,3.7,79.2
B-2178,76.8,6,10.2,46.9
B-2179,65.6,4,14.1,34.0
B-2180,55.2,8,17.4,80.3
B-2181,85.1,7,23.6,76.4
B-2182,80.0,4,2.9,60.2
B-2183,85.3,3,19.8,51.0
B-2184,62.9,5,16.0,65.4
B-2185,91.3,1,6.2,49.5
B-2186,27.2,9,12.7,74.9
B-2187,79.4,9,12.3,51.1
B-2188,46.1,9,20.1,33.8
B-2189,15.6,10,17.7,81.7
B-2190,100.0,0,4.4,75.9
B-2191,74.8,4,12.9,58.5
B-2192,37.3,9,19.8,54.8
B-2193,87.0,3,8.8,34.9
B-2194,100.0,0,11.7,47.3
B-2195,71.1,10,21.3,32.0
B-2196,84.0,3,16.2,52.6
B-2197,93.8,1,18.3,35.2
B-2198,97.8,1,4.2,89.2
B-2199,78.8,4,20.8,70.8
B-2200,92.7,2,2.8,52.1
B-2201,25.3,8,15.3,57.6
B-2202,90.6,2,14.4,81.2
B-2203,59.8,5,14.0,66.6
B-2204,91.6,1,10.1,78.1
B-2205,100.0,0,20.5,57.1
B-2206,77.6,10,3.2,34.9
B-2207,96.8,1,9.1,77.4
B-2208,100.0,0,4.3,45.3
B-2209,58.7,5,4.5,60.2
B-2210,56.1,5,14.1,52.5
B-2211,59.0,7,16.7,83.0
B-2212,52.8,7,13.5,37.5
B-2213,64.3,9,8.4,60.1
B-2214,75.7,6,23.2,88.6
B-2215,63.2,5,14.9,51.3
B-2216,79.8,4,13.5,63.2
B-2217,60.4,6,4.6,75.7
B-2218,94.8,2,14.0,34.4
B-2219,95.8,2,4.1,84.5
B-2220,46.3,9,24.5,53.1
B-2221,100.0,0,16.5,58.9
B-2222,31.2,7,14.0,77.6
B-2223,100.0,0,7.2,70.5
B-2224,43.9,9,23.3,53.8
B-2225,91.3,1,17.3,60.4
B-2226,53.1,6,9.9,89.3
B-2227,82.0,3,18.0,55.5
B-2228,42.8,8,9.8,33.6
B-2229,80.9,7,6.0,53.4
B-2230,92.9,1,12.2,55.8
B-2231,61.6,5,18.5,46.1
B-2232,89.9,5,23.3,57.8
B-2233,74.5,10,8.5,60.6
B-2234,93.0,1,23.3,44.8
B-2235,78.0,3,22.5,86.7
B-2236,86.3,5,19.1,36.0
B-2237,78.3,5,23.5,73.2
B-2238,90.8,1,17.1,73.8
B-2239,83.2,3,8.9,68.2
B-2240,61.0,6,22.2,41.2
B-2241,86.3,3,22.1,40.4
B-2242,42.9,9,10.8,47.6
B-2243,89.7,2,13.4,73.3
B-2244,97.5,1,13.5,38.1
B-2245,96.7,1,14.9,49.7
B-2246,63.6,8,13.9,38.2
B-2247,57.0,6,17.3,51.5
B-2248,91.1,1,8.2,63.4
B-2249,93.5,1,7.7,84.5
B-2250,81.3,2,7.8,42.1
B-2251,89.7,2,11.8,49.4
B-2252,67.1,4,21.7,36.1
B-2253,95.3,1,14.5,78.7
B-2254,89.5,4,7.0,51.1
B-2255,96.2,1,3.6,84.4
B-2256,27.7,8,3.8,44.6
B-2257,90.0,1,20.8,66.2
B-2258,93.9,1,14.2,48.0
B-2259,18.8,9,11.0,52.3
B-2260,56.3,6,10.6,54.7
B-2261,95.6,1,10.3,88.6
B-2262,71.6,8,10.8,68.0
B-2263,93.7,1,12.0,69.0
B-2264,87.7,2,15.1,33.9
B-2265,55.9,5,9.6,81.5
B-2266,100.0,0,11.1,66.6
B-2267,41.3,8,4.2,43.9
B-2268,90.9,4,4.3,86.1
B-2269,38.3,8,13.3,77.0
B-2270,60.4,6,12.2,63.5
B-2271,54.5,8,13.3,37.9
B-2272,82.1,2,24.8,83.9
B-2273,61.5,4,7.2,55.0
B-2274,100.0,0,18.4,75.7
B-2275,72.7,3,22.9,82.5
B-2276,100.0,0,16.0,70.8
B-2277,96.2,1,16.7,39.5
B-2278,100.0,0,24.4,70.1
B-2279,95.6,2,7.7,77.4
B-2280,27.9,9,5.1,50.5
B-2281,58.8,9,21.8,44.8
B-2282,53.3,6,14.3,61.3
B-2283,94.0,1,9.6,36.0
B-2284,54.2,8,2.7,53.2
B-2285,88.0,2,24.9,86.8
B-2286,42.1,6,14.4,82.1
B-2287,36.9,8,15.1,69.9
B-2288,70.7,4,19.1,51.9
B-2289,80.8,5,20.7,79.4
B-2290,58.9,5,10.5,38.0
B-2291,59.4,9,16.0,78.2
B-2292,77.6,3,24.5,81.7
B-2293,94.9,2,10.6,62.5
B-2294,92.2,3,12.0,68.5
B-2295,83.4,4,3.8,38.5
B-2296,92.5,1,9.5,58.1
B-2297,91.8,2,17.7,89.4
B-2298,92.0,1,2.1,75.3
B-2299,87.3,4,2.7,77.9
B-2300,100.0,0,7.7,59.7
B-2301,29.2,10,19.1,82.2
B-2302,37.7,8,17.8,49.6
B-2303,82.8,3,24.5,48.8
B-2304,57.3,7,22.8,45.2
B-2305,62.0,10,9.4,40.7
B-2306,64.2,4,24.8,81.0
B-2307,68.7,4,9.3,62.0
B-2308,90.1,1,20.5,83.8
B-2309,84.8,2,13.6,48.9
B-2310,66.9,6,6.1,69.3
B-2311,69.8,6,22.5,79.3
B-2312,100.0,0,2.6,66.6
B-2313,76.4,6,22.6,69.9
B-2314,100.0,0,11.3,52.4
B-2315,86.4,3,8.8,55.5
B-2316,82.9,4,8.0,32.9
B-2317,72.6,10,6.5,42.3
B-2318,90.0,5,3.5,85.9
B-2319,47.6,6,2.4,59.6
B-2320,88.0,2,16.4,68.0
B-2321,100.0,0,22.4,60.2
B-2322,52.1,5,21.4,70.3
B-2323,73.4,6,12.8,32.9
B-2324,90.9,1,16.9,31.6
B-2325,86.2,2,10.3,61.7
B-2326,50.5,9,2.9,44.7
B-2327,74.1,3,12.1,89.1
B-2328,92.9,1,14.7,55.4
B-2329,77.4,5,17.6,73.4
B-2330,16.9,10,13.9,83.8
B-2331,72.9,5,3.1,57.1
B-2332,84.3,2,9.7,55.6
B-2333,100.0,0,17.1,66.4
B-2334,52.6,5,12.1,43.9
B-2335,90.6,1,14.5,53.9
B-2336,61.3,5,8.2,37.9
B-2337,40.7,10,7.8,69.0
B-2338,31.2,8,11.8,86.4
B-2339,65.1,7,16.2,51.0
B-2340,11.0,10,6.9,73.5
B-2341,77.7,3,8.3,36.6
B-2342,92.4,2,16.3,47.5
B-2343,90.5,2,13.6,89.8
B-2344,74.3,4,17.5,70.2
B-2345,15.3,9,5.8,47.4
B-2346,80.0,2,20.8,33.1
B-2347,28.4,8,5.9,47.4
B-2348,48.1,8,18.5,53.0
B-2349,96.5,1,19.0,69.3
B-2350,100.0,0,17.8,85.9
B-2351,97.2,1,21.5,79.0
B-2352,89.2,3,23.8,56.0
B-2353,100.0,0,7.4,71.8
B-2354,74.7,6,3.8,68.2
B-2355,63.7,5,19.0,78.6
B-2356,81.8,3,15.2,56.2
B-2357,53.8,5,3.2,89.0
B-2358,70.0,5,13.4,54.0
B-2359,89.5,3,14.3,88.3
B-2360,82.7,7,15.5,71.2
B-2361,50.1,9,24.8,58.1
B-2362,93.1,2,8.1,63.3
B-2363,22.7,10,20.9,80.3
B-2364,76.9,7,23.5,85.1
B-2365,51.5,5,20.8,44.3
B-2366,77.1,7,15.0,35.0
B-2367,100.0,0,9.3,47.7
B-2368,86.0,5,18.4,37.2
B-2369,72.8,7,23.9,43.7
B-2370,61.3,6,20.0,48.4
B-2371,7.9,10,13.3,55.1
B-2372,92.7,2,7.4,62.6
B-2373,96.3,1,18.9,67.7
B-2374,25.7,10,2.1,73.8
B-2375,93.1,2,16.3,78.2
B-2376,89.9,4,16.1,77.2
B-2377,45.9,9,2.7,49.6
B-2378,92.4,1,10.3,55.5
B-2379,92.3,1,3.5,89.4
B-2380,90.6,1,14.0,82.8
B-2381,88.1,5,10.9,58.6
B-2382,94.1,1,2.8,72.2
B-2383,100.0,0,13.2,54.4
B-2384,60.7,6,2.1,83.1
B-2385,62.4,5,2.4,34.7
B-2386,37.6,7,16.8,60.5
B-2387,100.0,0,4.5,70.0
B-2388,82.7,7,3.8,49.6
B-2389,47.2,8,3.0,45.1
B-2390,59.2,6,2.1,54.7
B-2391,40.9,10,14.9,42.7
B-2392,1.2,10,12.0,37.9
B-2393,84.7,2,17.9,85.4
B-2394,80.3,6,15.4,78.6
B-2395,77.6,3,18.5,65.7
B-2396,62.1,6,7.1,81.3
B-2397,60.3,8,5.1,69.8
B-2398,40.3,7,15.8,62.1
B-2399,86.6,6,13.3,32.8
B-2400,100.0,0,2.7,55.4
B-2401,62.4,6,14.6,87.9
B-2402,76.1,4,3.0,48.5
B-2403,80.4,5,2.6,44.9
B-2404,36.6,8,16.1,50.8
B-2405,62.7,5,2.7,53.5
B-2406,71.2,10,18.5,46.0
B-2407,17.8,9,9.9,70.1
B-2408,95.0,1,12.3,60.6
B-2409,100.0,0,2.2,76.8
B-2410,76.5,5,15.0,76.1
B-2411,91.6,4,15.9,37.4
B-2412,83.5,2,18.6,38.3
B-2413,52.3,9,22.3,49.4
B-2414,76.6,10,7.2,66.4
B-2415,68.6,9,14.2,88.9
B-2416,88.9,3,3.6,33.7
B-2417,95.2,2,24.7,42.2
B-2418,41.7,6,4.6,60.9
B-2419,69.3,7,6.6,47.6
B-2420,75.8,3,10.2,82.0
B-2421,80.7,3,15.4,49.5
B-2422,25.6,10,15.7,59.1
B-2423,43.8,10,4.8,82.9
B-2424,68.1,5,24.5,33.0
B-2425,80.2,3,15.9,54.2
B-2426,53.5,6,18.7,52.7
B-2427,60.2,5,8.1,43.6
B-2428,40.6,10,13.3,76.0
B-2429,13.3,10,16.2,89.2
B-2430,100.0,0,23.6,78.0
B-2431,54.9,8,15.1,55.2
B-2432,31.6,7,6.9,38.8
B-2433,76.2,6,3.0,57.4
B-2434,96.6,1,11.6,76.4
B-2435,91.2,1,20.1,74.6
B-2436,91.8,1,19.6,40.8
B-2437,82.4,2,17.9,43.8
B-2438,31.0,7,3.5,85.6
B-2439,81.0,4,17.1,57.6
B-2440,68.7,8,6.4,87.7
B-2441,68.0,7,24.1,57.5
B-2442,79.5,3,12.2,72.3
B-2443,90.3,1,8.5,48.0
B-2444,31.4,10,22.0,71.0
B-2445,77.0,4,6.6,41.8
B-2446,75.4,7,14.3,63.3
B-2447,90.3,1,13.4,49.4
B-2448,70.1,4,12.1,44.8
B-2449,74.3,3,11.1,77.5
B-2450,39.6,9,12.3,81.3
B-2451,26.2,10,23.6,52.0
B-2452,44.9,6,8.2,83.3
B-2453,82.8,4,20.8,54.9
B-2454,96.4,1,20.0,48.9
B-2455,65.8,10,20.9,69.8
B-2456,88.6,2,17.5,76.9
B-2457,43.5,9,12.6,78.4
B-2458,93.3,2,7.2,35.1
B-2459,84.6,7,15.2,85.0
B-2460,94.9,2,2.7,37.4
B-2461,97.6,1,22.9,44.9
B-2462,54.5,8,12.5,79.9
B-2463,88.9,3,3.0,72.8
B-2464,70.4,4,5.7,47.0
B-2465,36.3,10,6.5,78.6
B-2466,72.9,10,10.3,89.9
B-2467,67.7,6,14.8,83.5
B-2468,56.3,10,21.0,60.3
